car,model_year,country,attribute,value
volvo 244dl,1975,Europe,No. of Cylinders,4.0
saab 99le,1975,Europe,No. of Cylinders,4.0
honda civic cvcc,1975,Japan,No. of Cylinders,4.0
fiat 131,1976,Europe,No. of Cylinders,4.0
opel 1900,1976,Europe,No. of Cylinders,4.0
capri ii,1976,USA,No. of Cylinders,4.0
dodge colt,1976,USA,No. of Cylinders,4.0
renault 12tl,1976,Europe,No. of Cylinders,4.0
chevrolet chevelle malibu classic,1976,USA,No. of Cylinders,8.0
dodge coronet brougham,1976,USA,No. of Cylinders,8.0
amc matador,1976,USA,No. of Cylinders,8.0
ford gran torino,1976,USA,No. of Cylinders,8.0
plymouth valiant,1976,USA,No. of Cylinders,6.0
chevrolet nova,1976,USA,No. of Cylinders,6.0
ford maverick,1976,USA,No. of Cylinders,6.0
amc hornet,1976,USA,No. of Cylinders,6.0
chevrolet chevette,1976,USA,No. of Cylinders,4.0
chevrolet woody,1976,USA,No. of Cylinders,4.0
vw rabbit,1976,Europe,No. of Cylinders,4.0
honda civic,1976,Japan,No. of Cylinders,4.0
dodge aspen se,1976,USA,No. of Cylinders,6.0
ford granada ghia,1976,USA,No. of Cylinders,6.0
pontiac ventura sj,1976,USA,No. of Cylinders,6.0
amc pacer d/l,1976,USA,No. of Cylinders,6.0
volkswagen rabbit,1976,Europe,No. of Cylinders,4.0
datsun b-210,1976,Japan,No. of Cylinders,4.0
toyota corolla,1976,Japan,No. of Cylinders,4.0
ford pinto,1976,USA,No. of Cylinders,4.0
volvo 245,1976,Europe,No. of Cylinders,4.0
plymouth volare premier v8,1976,USA,No. of Cylinders,8.0
peugeot 504,1976,Europe,No. of Cylinders,4.0
toyota mark ii,1976,Japan,No. of Cylinders,6.0
mercedes-benz 280s,1976,Europe,No. of Cylinders,6.0
cadillac seville,1976,USA,No. of Cylinders,8.0
chevy c10,1976,USA,No. of Cylinders,8.0
ford f108,1976,USA,No. of Cylinders,8.0
dodge d100,1976,USA,No. of Cylinders,8.0
honda accord cvcc,1977,Japan,No. of Cylinders,4.0
buick opel isuzu deluxe,1977,USA,No. of Cylinders,4.0
renault 5 gtl,1977,Europe,No. of Cylinders,4.0
plymouth arrow gs,1977,USA,No. of Cylinders,4.0
datsun f-10 hatchback,1977,Japan,No. of Cylinders,4.0
chevrolet caprice classic,1977,USA,No. of Cylinders,8.0
oldsmobile cutlass supreme,1977,USA,No. of Cylinders,8.0
dodge monaco brougham,1977,USA,No. of Cylinders,8.0
mercury cougar brougham,1977,USA,No. of Cylinders,8.0
chevrolet concours,1977,USA,No. of Cylinders,6.0
buick skylark,1977,USA,No. of Cylinders,6.0
plymouth volare custom,1977,USA,No. of Cylinders,6.0
ford granada,1977,USA,No. of Cylinders,6.0
pontiac grand prix lj,1977,USA,No. of Cylinders,8.0
chevrolet monte carlo landau,1977,USA,No. of Cylinders,8.0
chrysler cordoba,1977,USA,No. of Cylinders,8.0
ford thunderbird,1977,USA,No. of Cylinders,8.0
volkswagen rabbit custom,1977,Europe,No. of Cylinders,4.0
pontiac sunbird coupe,1977,USA,No. of Cylinders,4.0
toyota corolla liftback,1977,Japan,No. of Cylinders,4.0
ford mustang ii 2+2,1977,USA,No. of Cylinders,4.0
chevrolet chevette,1977,USA,No. of Cylinders,4.0
dodge colt m/m,1977,USA,No. of Cylinders,4.0
subaru dl,1977,Japan,No. of Cylinders,4.0
volkswagen dasher,1977,Europe,No. of Cylinders,4.0
datsun 810,1977,Japan,No. of Cylinders,6.0
bmw 320i,1977,Europe,No. of Cylinders,4.0
mazda rx-4,1977,Japan,No. of Cylinders,3.0
volkswagen rabbit custom diesel,1978,Europe,No. of Cylinders,4.0
ford fiesta,1978,USA,No. of Cylinders,4.0
mazda glc deluxe,1978,Japan,No. of Cylinders,4.0
datsun b210 gx,1978,Japan,No. of Cylinders,4.0
honda civic cvcc,1978,Japan,No. of Cylinders,4.0
oldsmobile cutlass salon brougham,1978,USA,No. of Cylinders,8.0
dodge diplomat,1978,USA,No. of Cylinders,8.0
mercury monarch ghia,1978,USA,No. of Cylinders,8.0
pontiac phoenix lj,1978,USA,No. of Cylinders,6.0
chevrolet malibu,1978,USA,No. of Cylinders,6.0
ford fairmont (auto),1978,USA,No. of Cylinders,6.0
ford fairmont (man),1978,USA,No. of Cylinders,4.0
plymouth volare,1978,USA,No. of Cylinders,6.0
amc concord,1978,USA,No. of Cylinders,6.0
buick century special,1978,USA,No. of Cylinders,6.0
mercury zephyr,1978,USA,No. of Cylinders,6.0
dodge aspen,1978,USA,No. of Cylinders,6.0
amc concord d/l,1978,USA,No. of Cylinders,6.0
chevrolet monte carlo landau,1978,USA,No. of Cylinders,8.0
buick regal sport coupe (turbo),1978,USA,No. of Cylinders,6.0
ford futura,1978,USA,No. of Cylinders,8.0
dodge magnum xe,1978,USA,No. of Cylinders,8.0
chevrolet chevette,1978,USA,No. of Cylinders,4.0
toyota corona,1978,Japan,No. of Cylinders,4.0
datsun 510,1978,Japan,No. of Cylinders,4.0
dodge omni,1978,USA,No. of Cylinders,4.0
toyota celica gt liftback,1978,Japan,No. of Cylinders,4.0
plymouth sapporo,1978,USA,No. of Cylinders,4.0
oldsmobile starfire sx,1978,USA,No. of Cylinders,4.0
datsun 200-sx,1978,Japan,No. of Cylinders,4.0
audi 5000,1978,Europe,No. of Cylinders,5.0
volvo 264gl,1978,Europe,No. of Cylinders,6.0
saab 99gle,1978,Europe,No. of Cylinders,4.0
peugeot 604sl,1978,Europe,No. of Cylinders,6.0
volkswagen scirocco,1978,Europe,No. of Cylinders,4.0
honda accord lx,1978,Japan,No. of Cylinders,4.0
pontiac lemans v6,1979,USA,No. of Cylinders,6.0
mercury zephyr 6,1979,USA,No. of Cylinders,6.0
ford fairmont 4,1979,USA,No. of Cylinders,4.0
amc concord dl 6,1979,USA,No. of Cylinders,6.0
dodge aspen 6,1979,USA,No. of Cylinders,6.0
chevrolet caprice classic,1979,USA,No. of Cylinders,8.0
ford ltd landau,1979,USA,No. of Cylinders,8.0
mercury grand marquis,1979,USA,No. of Cylinders,8.0
dodge st. regis,1979,USA,No. of Cylinders,8.0
buick estate wagon (sw),1979,USA,No. of Cylinders,8.0
ford country squire (sw),1979,USA,No. of Cylinders,8.0
chevrolet malibu classic (sw),1979,USA,No. of Cylinders,8.0
chrysler lebaron town @ country (sw),1979,USA,No. of Cylinders,8.0
vw rabbit custom,1979,Europe,No. of Cylinders,4.0
maxda glc deluxe,1979,Japan,No. of Cylinders,4.0
dodge colt hatchback custom,1979,USA,No. of Cylinders,4.0
amc spirit dl,1979,USA,No. of Cylinders,4.0
mercedes benz 300d,1979,Europe,No. of Cylinders,5.0
cadillac eldorado,1979,USA,No. of Cylinders,8.0
peugeot 504,1979,Europe,No. of Cylinders,4.0
oldsmobile cutlass salon brougham,1979,USA,No. of Cylinders,8.0
plymouth horizon,1979,USA,No. of Cylinders,4.0
plymouth horizon tc3,1979,USA,No. of Cylinders,4.0
datsun 210,1979,Japan,No. of Cylinders,4.0
fiat strada custom,1979,Europe,No. of Cylinders,4.0
buick skylark limited,1979,USA,No. of Cylinders,4.0
chevrolet citation,1979,USA,No. of Cylinders,6.0
oldsmobile omega brougham,1979,USA,No. of Cylinders,6.0
pontiac phoenix,1979,USA,No. of Cylinders,4.0
vw rabbit,1980,Europe,No. of Cylinders,4.0
toyota corolla tercel,1980,Japan,No. of Cylinders,4.0
chevrolet chevette,1980,USA,No. of Cylinders,4.0
datsun 310,1980,Japan,No. of Cylinders,4.0
chevrolet citation,1980,USA,No. of Cylinders,4.0
ford fairmont,1980,USA,No. of Cylinders,4.0
amc concord,1980,USA,No. of Cylinders,4.0
dodge aspen,1980,USA,No. of Cylinders,6.0
audi 4000,1980,Europe,No. of Cylinders,4.0
toyota corona liftback,1980,Japan,No. of Cylinders,4.0
mazda 626,1980,Japan,No. of Cylinders,4.0
datsun 510 hatchback,1980,Japan,No. of Cylinders,4.0
toyota corolla,1980,Japan,No. of Cylinders,4.0
mazda glc,1980,Japan,No. of Cylinders,4.0
dodge colt,1980,USA,No. of Cylinders,4.0
datsun 210,1980,Japan,No. of Cylinders,4.0
vw rabbit c (diesel),1980,Europe,No. of Cylinders,4.0
vw dasher (diesel),1980,Europe,No. of Cylinders,4.0
audi 5000s (diesel),1980,Europe,No. of Cylinders,5.0
mercedes-benz 240d,1980,Europe,No. of Cylinders,4.0
honda civic 1500 gl,1980,Japan,No. of Cylinders,4.0
renault lecar deluxe,1980,Europe,No. of Cylinders,4.0
subaru dl,1980,Japan,No. of Cylinders,4.0
vokswagen rabbit,1980,Europe,No. of Cylinders,4.0
datsun 280-zx,1980,Japan,No. of Cylinders,6.0
mazda rx-7 gs,1980,Japan,No. of Cylinders,3.0
triumph tr7 coupe,1980,Europe,No. of Cylinders,4.0
ford mustang cobra,1980,USA,No. of Cylinders,4.0
honda accord,1980,Japan,No. of Cylinders,4.0
plymouth reliant,1981,USA,No. of Cylinders,4.0
buick skylark,1981,USA,No. of Cylinders,4.0
dodge aries wagon (sw),1981,USA,No. of Cylinders,4.0
chevrolet citation,1981,USA,No. of Cylinders,6.0
plymouth reliant,1981,USA,No. of Cylinders,4.0
toyota starlet,1981,Japan,No. of Cylinders,4.0
plymouth champ,1981,USA,No. of Cylinders,4.0
honda civic 1300,1981,Japan,No. of Cylinders,4.0
subaru,1981,Japan,No. of Cylinders,4.0
datsun 210 mpg,1981,Japan,No. of Cylinders,4.0
toyota tercel,1981,Japan,No. of Cylinders,4.0
mazda glc 4,1981,Japan,No. of Cylinders,4.0
plymouth horizon 4,1981,USA,No. of Cylinders,4.0
ford escort 4w,1981,USA,No. of Cylinders,4.0
ford escort 2h,1981,USA,No. of Cylinders,4.0
volkswagen jetta,1981,Europe,No. of Cylinders,4.0
renault 18i,1981,Europe,No. of Cylinders,4.0
honda prelude,1981,Japan,No. of Cylinders,4.0
toyota corolla,1981,Japan,No. of Cylinders,4.0
datsun 200sx,1981,Japan,No. of Cylinders,4.0
mazda 626,1981,Japan,No. of Cylinders,4.0
peugeot 505s turbo diesel,1981,Europe,No. of Cylinders,4.0
volvo diesel,1981,Europe,No. of Cylinders,6.0
toyota cressida,1981,Japan,No. of Cylinders,6.0
datsun 810 maxima,1981,Japan,No. of Cylinders,6.0
buick century,1981,USA,No. of Cylinders,6.0
oldsmobile cutlass ls,1981,USA,No. of Cylinders,8.0
ford granada gl,1981,USA,No. of Cylinders,6.0
chrysler lebaron salon,1981,USA,No. of Cylinders,6.0
chevrolet cavalier,1982,USA,No. of Cylinders,4.0
chevrolet cavalier wagon,1982,USA,No. of Cylinders,4.0
chevrolet cavalier 2-door,1982,USA,No. of Cylinders,4.0
pontiac j2000 se hatchback,1982,USA,No. of Cylinders,4.0
dodge aries se,1982,USA,No. of Cylinders,4.0
pontiac phoenix,1982,USA,No. of Cylinders,4.0
ford fairmont futura,1982,USA,No. of Cylinders,4.0
amc concord dl,1982,USA,No. of Cylinders,4.0
volkswagen rabbit l,1982,Europe,No. of Cylinders,4.0
mazda glc custom l,1982,Japan,No. of Cylinders,4.0
mazda glc custom,1982,Japan,No. of Cylinders,4.0
plymouth horizon miser,1982,USA,No. of Cylinders,4.0
mercury lynx l,1982,USA,No. of Cylinders,4.0
nissan stanza xe,1982,Japan,No. of Cylinders,4.0
honda accord,1982,Japan,No. of Cylinders,4.0
toyota corolla,1982,Japan,No. of Cylinders,4.0
honda civic,1982,Japan,No. of Cylinders,4.0
honda civic (auto),1982,Japan,No. of Cylinders,4.0
datsun 310 gx,1982,Japan,No. of Cylinders,4.0
buick century limited,1982,USA,No. of Cylinders,6.0
oldsmobile cutlass ciera (diesel),1982,USA,No. of Cylinders,6.0
chrysler lebaron medallion,1982,USA,No. of Cylinders,4.0
ford granada l,1982,USA,No. of Cylinders,6.0
toyota celica gt,1982,Japan,No. of Cylinders,4.0
dodge charger 2.2,1982,USA,No. of Cylinders,4.0
chevrolet camaro,1982,USA,No. of Cylinders,4.0
ford mustang gl,1982,USA,No. of Cylinders,4.0
vw pickup,1982,Europe,No. of Cylinders,4.0
dodge rampage,1982,USA,No. of Cylinders,4.0
ford ranger,1982,USA,No. of Cylinders,4.0
chevy s-10,1982,USA,No. of Cylinders,4.0
chevrolet chevelle malibu,1970,USA,Displacement,307.0
buick skylark 320,1970,USA,Displacement,350.0
plymouth satellite,1970,USA,Displacement,318.0
amc rebel sst,1970,USA,Displacement,304.0
ford torino,1970,USA,Displacement,302.0
ford galaxie 500,1970,USA,Displacement,429.0
chevrolet impala,1970,USA,Displacement,454.0
plymouth fury iii,1970,USA,Displacement,440.0
pontiac catalina,1970,USA,Displacement,455.0
amc ambassador dpl,1970,USA,Displacement,390.0
dodge challenger se,1970,USA,Displacement,383.0
plymouth 'cuda 340,1970,USA,Displacement,340.0
chevrolet monte carlo,1970,USA,Displacement,400.0
buick estate wagon (sw),1970,USA,Displacement,455.0
toyota corona mark ii,1970,Japan,Displacement,113.0
plymouth duster,1970,USA,Displacement,198.0
amc hornet,1970,USA,Displacement,199.0
ford maverick,1970,USA,Displacement,200.0
datsun pl510,1970,Japan,Displacement,97.0
volkswagen 1131 deluxe sedan,1970,Europe,Displacement,97.0
peugeot 504,1970,Europe,Displacement,110.0
audi 100 ls,1970,Europe,Displacement,107.0
saab 99e,1970,Europe,Displacement,104.0
bmw 2002,1970,Europe,Displacement,121.0
amc gremlin,1970,USA,Displacement,199.0
ford f250,1970,USA,Displacement,360.0
chevy c20,1970,USA,Displacement,307.0
dodge d200,1970,USA,Displacement,318.0
hi 1200d,1970,USA,Displacement,304.0
datsun pl510,1971,Japan,Displacement,97.0
chevrolet vega 2300,1971,USA,Displacement,140.0
toyota corona,1971,Japan,Displacement,113.0
ford pinto,1971,USA,Displacement,98.0
amc gremlin,1971,USA,Displacement,232.0
plymouth satellite custom,1971,USA,Displacement,225.0
chevrolet chevelle malibu,1971,USA,Displacement,250.0
ford torino 500,1971,USA,Displacement,250.0
amc matador,1971,USA,Displacement,232.0
chevrolet impala,1971,USA,Displacement,350.0
pontiac catalina brougham,1971,USA,Displacement,400.0
ford galaxie 500,1971,USA,Displacement,351.0
plymouth fury iii,1971,USA,Displacement,318.0
dodge monaco (sw),1971,USA,Displacement,383.0
ford country squire (sw),1971,USA,Displacement,400.0
pontiac safari (sw),1971,USA,Displacement,400.0
amc hornet sportabout (sw),1971,USA,Displacement,258.0
chevrolet vega (sw),1971,USA,Displacement,140.0
pontiac firebird,1971,USA,Displacement,250.0
ford mustang,1971,USA,Displacement,250.0
mercury capri 2000,1971,USA,Displacement,122.0
opel 1900,1971,Europe,Displacement,116.0
peugeot 304,1971,Europe,Displacement,79.0
fiat 124b,1971,Europe,Displacement,88.0
toyota corolla 1200,1971,Japan,Displacement,71.0
datsun 1200,1971,Japan,Displacement,72.0
volkswagen model 111,1971,Europe,Displacement,97.0
plymouth cricket,1971,USA,Displacement,91.0
toyota corona hardtop,1972,Japan,Displacement,113.0
dodge colt hardtop,1972,USA,Displacement,97.5
volkswagen type 3,1972,Europe,Displacement,97.0
chevrolet vega,1972,USA,Displacement,140.0
ford pinto runabout,1972,USA,Displacement,122.0
chevrolet impala,1972,USA,Displacement,350.0
pontiac catalina,1972,USA,Displacement,400.0
plymouth fury iii,1972,USA,Displacement,318.0
ford galaxie 500,1972,USA,Displacement,351.0
amc ambassador sst,1972,USA,Displacement,304.0
mercury marquis,1972,USA,Displacement,429.0
buick lesabre custom,1972,USA,Displacement,350.0
oldsmobile delta 88 royale,1972,USA,Displacement,350.0
chrysler newport royal,1972,USA,Displacement,400.0
mazda rx2 coupe,1972,Japan,Displacement,70.0
amc matador (sw),1972,USA,Displacement,304.0
chevrolet chevelle concours (sw),1972,USA,Displacement,307.0
ford gran torino (sw),1972,USA,Displacement,302.0
plymouth satellite custom (sw),1972,USA,Displacement,318.0
volvo 145e (sw),1972,Europe,Displacement,121.0
volkswagen 411 (sw),1972,Europe,Displacement,121.0
peugeot 504 (sw),1972,Europe,Displacement,120.0
renault 12 (sw),1972,Europe,Displacement,96.0
ford pinto (sw),1972,USA,Displacement,122.0
datsun 510 (sw),1972,Japan,Displacement,97.0
toyouta corona mark ii (sw),1972,Japan,Displacement,120.0
dodge colt (sw),1972,USA,Displacement,98.0
toyota corolla 1600 (sw),1972,Japan,Displacement,97.0
buick century 350,1973,USA,Displacement,350.0
amc matador,1973,USA,Displacement,304.0
chevrolet malibu,1973,USA,Displacement,350.0
ford gran torino,1973,USA,Displacement,302.0
dodge coronet custom,1973,USA,Displacement,318.0
mercury marquis brougham,1973,USA,Displacement,429.0
chevrolet caprice classic,1973,USA,Displacement,400.0
ford ltd,1973,USA,Displacement,351.0
plymouth fury gran sedan,1973,USA,Displacement,318.0
chrysler new yorker brougham,1973,USA,Displacement,440.0
buick electra 225 custom,1973,USA,Displacement,455.0
amc ambassador brougham,1973,USA,Displacement,360.0
plymouth valiant,1973,USA,Displacement,225.0
chevrolet nova custom,1973,USA,Displacement,250.0
amc hornet,1973,USA,Displacement,232.0
ford maverick,1973,USA,Displacement,250.0
plymouth duster,1973,USA,Displacement,198.0
volkswagen super beetle,1973,Europe,Displacement,97.0
chevrolet impala,1973,USA,Displacement,400.0
ford country,1973,USA,Displacement,400.0
plymouth custom suburb,1973,USA,Displacement,360.0
oldsmobile vista cruiser,1973,USA,Displacement,350.0
amc gremlin,1973,USA,Displacement,232.0
toyota carina,1973,Japan,Displacement,97.0
chevrolet vega,1973,USA,Displacement,140.0
datsun 610,1973,Japan,Displacement,108.0
maxda rx3,1973,Japan,Displacement,70.0
ford pinto,1973,USA,Displacement,122.0
mercury capri v6,1973,USA,Displacement,155.0
fiat 124 sport coupe,1973,Europe,Displacement,98.0
chevrolet monte carlo s,1973,USA,Displacement,350.0
pontiac grand prix,1973,USA,Displacement,400.0
fiat 128,1973,Europe,Displacement,68.0
opel manta,1973,Europe,Displacement,116.0
